"","label0","label1"
"5750",133.93,65.164
"46159",177.82,111.22
"38885",149.92,105.93
"32715",146.99,109.27
"4008",154.65,97.823
"2483",157.94,109.16
"17465",148.58,82.772
"33512",134.52,109.1
"48570",152.49,68.851
"17936",167.47,127.33
"39854",141.61,113.38
"62630",162.27,83.115
"15176",156.65,114.06
"18499",129.32,96.355
"42952",156.13,113.9
"30978",170.84,95.589
"61435",138.65,99.662
"10871",160.04,90.5
"16138",174.31,115.24
"62758",143.26,80.643
"33969",145.28,114.18
"45285",163.85,102.71
"41902",134.27,116.24
"37495",116.1,95.095
"23023",148.28,133.94
"12368",134.99,119.74
"49174",130.26,103.54
"14756",175.95,101.85
"39727",153.11,124.28
"31102",116.85,81.703
"63710",126.3,91.122
"3019",180.23,128.52
"62111",145.35,76.948
"19898",120.45,82.725
"35948",112,97.682
"63443",150.98,99.534
"26732",108,80.775
"12758",187.89,114.48
"63895",118.18,113.85
"52546",171.02,100.28
"21548",128.77,94.846
"59955",141.68,66.825
"61144",136.13,98.207
"54658",174.91,104.14
"38209",150.96,82.685
"29115",183.48,73.594
"60148",152.56,80.512
"32612",166.12,99.946
"51038",148.01,70.224
"15832",95.867,100.3
"29154",165.73,109.01
"51683",155.74,105.93
"38134",137.18,117.99
"40824",170.76,98.519
"19463",163.89,90.306
"48115",129.7,95.751
"64607",128.07,82.13
"43028",130.52,110.98
"58545",147.37,104.01
"10535",140.22,97.02
"19264",120.61,65.583
"11308",137.22,80.514
"8936",148.86,106.73
"33964",109.7,98.081
"63005",122.69,64.21
"39268",153.31,105.8
"8716",162.47,74.955
"61180",123.53,70.483
"44801",199.23,80.725
"55097",161.95,100.01
"31431",174.61,101.4
"54943",167.83,81.907
"36549",159.98,101.48
"32389",185.91,105.55
"10806",132.52,82.551
"29015",152.57,61.052
"21404",149.14,95.862
"2505",154.55,121.99
"37277",127.54,63.727
"57620",139.06,86.227
"57009",204.48,80.669
"60746",176.95,114.14
"3054",163.84,122.42
"48581",171.12,113.43
"46124",152.53,110.93
"63168",87.514,92.535
"53916",117.86,74.379
"458",158.9,122.52
"37324",170.45,127.17
"30623",162.56,111.83
"58105",142.68,98.229
"33746",184.04,106.94
"15350",171.28,111.76
"17810",106.92,111.31
"27172",146.74,105.19
"33706",141.97,116.26
"53438",120.69,97.242
"47759",168.58,110.96
"47455",128.45,73.135
"40160",130.21,73.88
"13895",180.63,75.41
"7580",133.68,66.037
"39266",140.26,92.511
"40019",127.63,103.78
"65097",189.41,124.78
"18339",149.13,103.64
"47459",165.52,104.5
"49857",176.88,78.291
"46620",193.23,72.277
"50315",148.84,111.42
"3657",196.94,97.49
"47067",141.93,86.11
"28668",126.31,93.826
"31400",167.36,113.8
"52582",144.59,108.27
"32034",147.99,94.064
"11691",158.22,132.33
"27042",197.81,101.81
"7252",135.38,104.02
"898",150.38,89.328
"11437",129.43,123.82
"21618",160.06,108.21
"7340",166.74,78.914
"30275",148.38,100.8
"22098",155.84,93.839
"59089",132.05,96.566
"22271",132.77,67.073
"25293",169.1,135.39
"14205",160.34,79.896
"43264",130.29,78.944
"15489",154.46,82.77
"32073",175.13,99.653
"40793",161.61,107.84
"58994",122.53,100.65
"15948",150.68,96.943
"11383",125.69,91.08
"35820",155.9,113.71
"49249",146.5,82.119
"21552",125.24,101.39
"12527",168.39,124.53
"26735",147.96,122.35
"45353",133.69,97.586
"39565",127.05,135.39
"50029",194.05,120.61
"3610",168.17,76.927
"35688",147.31,109.84
"59812",176.79,107.47
"62773",140.99,104.66
"21160",160.37,115.05
"46810",141.53,88.087
"61021",192.84,66.286
"37144",141.64,83.91
"51008",100.98,71.186
"11448",132.71,113.74
"60529",139.25,98.684
"20614",173.78,101.62
"58032",181.04,130.53
"6060",172.6,101.04
"49854",142.83,83.943
"35143",151.67,105.67
"56363",146.44,101.68
"7940",167.38,102.45
"13414",163.71,105.45
"15442",190.11,103.13
"52493",179.52,108.4
"23193",186.79,100.01
"56669",134.09,59.598
"15042",162.38,95.522
"31242",171.7,132.32
"32471",139.84,84.81
"36215",177.29,87.532
"8748",147.66,80.499
"4702",127.26,74.031
"21046",147.94,79.439
"11183",156.22,130.94
"31573",147.09,86.123
"25207",165.69,85.619
"54293",137.97,92.455
"3272",155.74,97.932
"49977",134.04,99.166
"48857",148.58,105.6
"38292",129.9,101.97
"46279",169.65,106.25
"42139",150.63,86.54
"22738",129.6,94.342
"29290",183.56,112.99
"30801",153.8,106.67
"26913",178.14,90.167
"18468",144.48,91.631
"42362",152.69,92.406
"47081",161.32,123.19
"33727",133.28,112.57
"58029",133.78,106.18
"60620",167.4,112.86
"10615",163.69,97.792
"4962",143.78,84.362
"55018",158.31,124.95
"60643",141.15,94.872
"61585",169.95,99.319
"20579",187.34,90.225
"58107",144.42,69.402
"16640",139.87,72.289
"59937",178.47,74.922
"47782",174.96,117.35
"19554",150.45,87.639
"31424",168.07,76.366
"37685",147.65,98.134
"7495",171.16,84.181
"46012",162.57,80.604
"46025",154.92,106.3
"11797",173.93,85.006
"40407",145.99,91.221
"4288",119.75,87.147
"17706",158.92,92.985
"58804",157.78,110.95
"49925",152.86,113.15
"61313",173.65,75.435
"39865",106.71,101.34
"29609",166.47,97.259
"6720",116.76,69.448
"26225",171.52,102.01
"31808",96.89,82.144
"42420",107.31,98.195
"59195",153.22,75.909
"18220",148.39,121.76
"59432",150.88,103.5
"31324",146.95,73.168
"38627",117.47,109.57
"37341",155.15,56.48
"47734",161.83,92.673
"48806",183.12,117.35
"18123",187.49,111.94
"33971",155.61,99.11
"38224",138.26,108.66
"35391",174.44,64.812
"59722",166.37,112.38
"107",125.15,113.2
"51993",144.8,98.046
"21845",161.41,109.66
"342",142.17,107.13
"46602",150.2,136.54
"11920",138.68,131.08
"23070",134.27,72.256
"57357",166.09,105.02
"51775",101.12,76.5
"38098",156.19,102.92
"58358",171.66,95.676
"17213",162.93,55.997
"46658",173.66,104.65
"33150",104.38,62.733
"55779",151.32,97.997
"50158",160.38,129.71
"310",146.44,105.07
"26282",158.24,104.55
"13021",153.87,52.632
"60925",122.81,48.48
"41381",188.14,108.12
"46343",157.39,113.5
"9975",156.06,90.727
"49398",162.52,107.9
"17326",164.62,135.2
"1897",165.6,95.627
"9375",119.09,86.411
"20871",147.44,92.251
"37038",119.78,113.67
"22944",135.65,88.057
"11419",146.61,89.303
"17514",150.24,93.595
"48574",117.43,76.847
"58584",147.72,78.949
"56759",115.98,118.52
"3893",132.67,105.85
"32920",128.78,96.069
"20355",184.41,99.181
"30058",158.98,114.62
"35943",141.13,80.053
"23058",139.01,96.362
"41434",141.18,68.8
"58959",162.2,128.06
"28251",143.78,66.691
"37223",155.39,112.21
"53562",116.01,93.422
"20035",126.95,104.43
"41679",162.2,121.24
"37486",162.11,123.98
"60173",149.96,117.59
"56100",156.4,101.99
"4566",179.06,119.01
"33089",171.73,90.502
"1714",123.49,81.161
"57267",190.81,103.59
"47861",155.98,108.77
"21083",162.75,73.803
"24005",150.29,106.45
"1457",156.03,129.86
"63490",166.86,86.628
"35629",170.21,134.21
"64302",160.04,128.33
"60255",120.51,77.864
"13302",159.46,112.47
"12960",164.42,69.78
"61004",104.31,128.17
"43458",133.9,98.274
"32613",132.68,109.22
"17750",114.28,113.41
"2718",184.15,67.293
"58286",167.13,131.34
"31479",175.83,96.349
"18585",143.1,90.348
"33599",137.33,63.514
"62300",170.95,75.496
"22776",127.43,100.62
"20653",152.87,122.46
"61043",97.09,98.568
"28572",152.02,95.669
"2597",157.08,106.49
"34462",177.33,80.01
"53283",147.15,92.313
"6057",138.3,118.53
"58331",165.76,94.313
"22806",149.01,116.76
"25085",124.22,57.07
"15481",156.68,79.642
"64015",158.64,112.22
"12281",126.03,101.64
"13129",144.84,110.43
"47849",171.41,94.003
"48661",153.34,74.978
"48928",172.38,75.332
"29517",152.9,131.42
"33861",166.71,100.77
"55016",164.56,108.51
"53129",178.9,111.24
"14419",147.51,109.27
"20697",169.19,99.913
"18045",165.11,51.671
"59914",165.3,138.89
"27353",140.73,89.148
"17637",166.18,108.21
"63984",158.08,120.7
"7148",136.35,107.84
"33848",167.68,92.322
"29327",167.66,133
"9282",132.36,87.458
"32087",96.374,61.253
"51895",134.64,112.92
"42670",145.38,114.4
"50466",182.14,100.13
"59771",146.57,68.088
"16703",146.53,70.054
"50733",171.36,119.35
"37395",141.15,94.007
"47262",140.9,96.441
"44523",165.92,119.79
"14119",135.13,81.416
"43176",147.32,110.5
"62849",143.55,76.596
"26217",194.6,98.699
"35",151.84,92.123
"30156",148.13,124.58
"17398",159.59,108.49
"35043",177.4,104.12
"59711",131.98,72.982
"16498",153.88,110.64
"13134",170.39,129.86
"24913",120.92,104.8
"26079",146.38,85.714
"36361",127.74,122.16
"18682",118.86,87.917
"7051",153.01,126.33
"34845",155.51,59.438
"26748",142.17,76.623
"25612",127.85,80.962
"47543",163.55,115.27
"27700",140.55,102.07
"3497",173.99,116.15
"46189",135.01,92.605
"51464",153.31,117.33
"52331",160.54,110.8
"37491",122.66,99.74
"177",168.91,101.39
"21369",144.67,91.034
"12361",178.85,92.919
"11481",113.23,98.822
"42612",146.89,96.671
"39673",151,102.27
"54100",114.75,102.94
"42855",189.42,104.06
"39027",145.97,93.206
"27855",178.36,129.34
"29633",147.58,79.387
"12438",142.23,97.667
"21701",173.55,103.08
"18036",134.1,100.48
"19157",150.77,89.771
"33302",165.75,99.03
"56000",120.35,87.437
"7440",191.58,131.58
"17608",153.42,114.67
"13635",180.3,99.806
"19112",171.75,117.47
"27649",164.55,76.845
"8676",160.97,104.52
"29649",133.25,111.02
"48387",156.21,100.39
"10531",145.75,102.07
"14594",168.68,92.729
"31651",187.82,102.82
"58184",155,96.985
"53572",168.78,104.13
"21602",174.09,90.49
"9470",98.706,83.172
"47675",184.15,53.428
"35649",129.29,84.043
"44169",204.18,107.61
"39093",115.1,104.06
"25155",150.33,104.52
"54224",162.82,123.68
"65486",200.25,134.25
"41664",176.63,91.204
"50632",182.78,119.11
"56418",160.38,92.278
"32753",156.54,98.881
"31463",166.85,102.23
"18053",170.94,103.01
"61703",111.24,104.67
"61697",162.32,72.181
"9548",142.68,87.463
"58930",140.25,91.406
"50941",143.99,58.038
"32836",170.2,105.88
"32531",171.54,77.169
"15444",130.46,106.48
"49224",174.65,102.72
"43602",183.27,102.57
"60681",167,111.98
"45599",135.66,72.876
"54220",170.86,127.71
"48735",143.61,64.671
"5024",144.95,111.92
"35403",171.66,132.77
"27566",168.87,126.42
"21794",184.5,100.04
"62918",175.88,87.16
"16282",167.25,81.288
"55139",174.36,96.941
"12880",159.32,138.6
"43736",149.82,100.59
"708",162.32,96.952
"2969",129.41,96.007
"55792",133.53,118.07
"58554",102.62,97.427
"15848",190.19,98.171
"19715",147.59,95.123
"5128",167.04,76.393
"6806",183.96,101.99
"51882",138.35,115.83
"37628",167.16,78.894
"21715",182.44,109.92
"15576",164.96,106.94
"16297",148.46,115.37
"35097",139.33,95.514
"32397",169.17,133.87
"12912",173.9,131.45
"8020",162.56,102.5
"64935",163.42,91.651
"17464",141.55,105.48
"15130",166.21,96.9
"29755",151.47,71.326
"36891",120.46,68.915
"50811",118.21,59.344
"42827",191.33,107.2
"30647",153.42,103.33
"8375",157.4,102.3
"16409",127.51,89.156
"63212",129.48,138.85
"31531",161.81,129.86
"11493",166.28,106.5
"57582",189.98,120.81
"50114",161.67,96.628
"47927",169.67,101.94
"39406",186.42,126.18
"3647",147.28,81.283
"41675",168.28,124.03
"39748",164.05,98.996
"1658",130.75,84.577
"15813",147.86,107.52
"49031",163.97,99.43
"13156",148.86,103.58
"25213",153.44,47.75
"35103",139.67,74.405
"64414",163.61,111.7
"58704",132.31,124.35
"44845",209.27,127.13
"40120",148.01,93.404
"65524",149.36,114.29
"37399",149.78,82.579
"19660",176.23,110.53
"49820",140.44,75.836
"19154",179.87,104.74
"2646",162.34,84.693
"4416",180.2,75.572
"52415",139.26,90.335
"11354",127.62,88.855
"42698",140.97,117.93
"29160",183.89,115.32
"7979",125.32,119.36
"58172",112.77,59.427
"24559",186.53,133.54
"18015",156.06,75.501
"7177",165.2,103.81
"52508",102.61,82.57
"45141",139.54,94.44
"23663",120.08,122.57
"51431",150.7,108.03
"25702",118.38,100.74
"59742",92.304,81.733
"57342",139.48,112.55
"34357",151.01,79.729
"28234",149.94,132.07
"43001",163.37,103.77
"11017",143.52,102.74
"50992",109.68,114.14
"60758",164,104.99
"51422",192.83,100.14
"8669",143,64.414
"64863",120.06,83.849
"17787",120.71,83.579
"18697",169.93,117.85
"20474",97.176,98.553
"23717",152.33,105.45
"31241",169.6,126.5
"64845",163.83,102.87
"26528",125.65,97.975
"49451",149.61,106.84
"47038",146.33,107.84
"10725",181.22,107.93
"38435",154.68,105.93
"25051",154.01,74.68
"53747",118.53,102.36
"54734",162.81,122.21
"40767",131.03,72.455
"53130",157.95,103.71
"40419",150.09,102.43
"30894",149.86,105.53
"10168",148.48,100.74
"56875",151.78,123.92
"26155",163.47,124.95
"30791",153.06,86.498
"21145",136.31,98.871
"62582",138.13,103.22
"45527",156.61,108.47
"47198",128.29,79.621
"59403",145.23,85.726
"18447",170.83,118.94
"25150",162.54,58.452
"58453",112.25,94.907
"11892",129.35,97.227
"41137",187.38,78.389
"63055",169.54,123.26
"6423",158.38,110.62
"55115",154.86,99.52
"37648",115.58,123.43
"49781",155.91,85.04
"20037",149.28,107.66
"20437",137.6,114.66
"37259",161.42,112.29
"62412",164.6,132.81
"5564",125.92,62.986
"62903",186.98,114.91
"46019",184.79,102.91
"17577",151.81,110.59
"23995",165.49,82.876
"55362",165.52,88.472
"29240",143.16,77.025
"28480",111.48,70.42
"56325",130.96,93.671
"48367",160.84,92.926
"20425",137.83,118.28
"26466",154.69,96.656
"25761",158.71,70.882
"11858",140.97,97.889
"54348",183.05,116.43
"30270",138.39,74.331
"18638",159.07,124.57
"2029",153.35,136.81
"58384",115.72,104.37
"7214",127.39,115.02
"43414",150.98,112.59
"64241",180.71,108.86
"49001",165.28,109.07
"23463",140.58,77.085
"49430",147.75,103.48
"33617",196.2,108.3
"13765",162.52,110.37
"13286",164.43,105.74
"43647",171.77,75.372
"44000",122.03,111.89
"2880",118.99,70.802
"2233",138.43,82.681
"44753",126.82,77.088
"27371",185.55,130.15
"64894",116.4,72.637
"13571",162.21,98.35
"8865",181.93,81.82
"48290",134.31,92.53
"9048",167.05,97.352
"6252",149.15,91.771
"26345",179.83,92.265
"32050",172.9,97.549
"49976",139.1,102.42
"20016",134.53,133.24
"58283",152.24,123.34
"22699",177.7,109.24
"48176",139.74,119.49
"63123",200.95,84.297
"48851",189.87,105.35
"33536",157.42,69.592
"65396",175.53,92.328
"17092",133.55,107.86
"52534",153.65,116.18
"51783",170.15,91.731
"3891",144.34,70.254
"17899",148.28,128.74
"41898",152.7,107.6
"26500",185.7,99.037
"9959",140.68,85.861
"45124",169.21,97.993
"19351",152.88,113.38
"4342",182.77,110.8
"61175",161.13,99.609
"63701",136.17,110.48
"39399",128.57,91.787
"64401",146.56,85.483
"47182",146.77,110.17
"29348",169.28,104.79
"30164",111.74,83.491
"55685",143.46,107.34
"39469",153.82,131.02
"21011",130.49,89.121
"19838",128.28,81.416
"37355",164.86,120.68
"31518",111.54,62.321
"39753",139.15,108.34
"4725",128.52,81.906
"36628",179.84,92.173
"25133",176.13,133.04
"40597",181.48,84.063
"44944",151.24,101.09
"34929",129.24,108.7
"41406",110.43,80.325
"9163",191.53,127.05
"22746",143.63,84.122
"57161",198.4,109.41
"18923",167.93,125.18
"64940",151.15,125.59
"45138",120.99,92.75
"29440",139.75,70.396
"4218",178.02,97.139
"8228",163.85,92.225
"41637",166.03,108.16
"49495",137.97,113.96
"502",94.169,113.85
"62940",133.9,63.487
"50086",173.71,105.92
"12220",125.74,97.046
"52992",118.18,70.135
"22866",161.6,102.38
"50870",173.44,110.58
"783",194.82,132.75
"17545",139.03,91.246
"11087",141.05,130.94
"47674",131.48,56.595
"690",143.82,82.225
"31385",153.6,96.74
"60792",120.63,98.532
"15242",167.81,122.26
"60310",156.61,113.78
"58132",147.7,100.83
"27754",149.23,103.26
"25936",139.71,117.73
"49340",130.49,73.97
"42896",185.99,104.02
"531",149.05,104.45
"199",149.14,87.564
"14028",140.14,90.245
"46939",133.44,81.411
"61665",143.6,67.428
"36181",114.77,100.66
"59331",159.44,102.27
"64830",177.68,80.018
"38437",164.89,118.32
"10744",156.83,99.739
"13351",173.8,86.235
"9453",90.693,122.58
"11881",164.45,92.366
"57270",148.65,110.85
"38862",147.18,109.38
"41311",100.83,74.843
"61611",151.15,96.82
"63613",122.6,83
"1552",159.98,112.15
"31268",159.82,105.87
"52182",162.14,115.17
"49054",111.59,112.6
"54874",164.82,61.625
"46942",113.17,77.683
"61285",176.23,104.09
"24196",176.94,106.73
"38730",175.3,122.77
"53616",148.25,114.26
"33723",144.52,86.481
"34963",180.85,100.05
"63787",185.57,111.67
"55712",141.5,82.44
"60287",161.86,89.019
"24578",182.53,86.99
"46720",119.64,63.695
"39359",86.81,82.7
"63691",140.38,94.366
"15567",122.84,129.07
"36745",102.78,91.527
"33147",150.19,86.482
"52701",152.88,56.755
"3485",117.07,72.772
"52912",159.22,120.27
"17273",161.3,91.177
"10205",92.268,76.989
"24799",161.85,90.47
"15941",151.69,102.95
"34921",130.6,87.573
"44232",156.68,119.11
"5698",165.05,90.034
"19320",151.11,101.43
"62044",109.23,74.965
"30505",133.91,117.48
"6567",152.71,89.847
"14455",123.97,90.346
"18817",162.84,85.594
"45507",162.16,106.82
"42645",159.12,95.603
"12329",156.86,107.1
"60005",169.61,109.46
"59713",183.61,69.717
"15736",169.03,104.33
"39380",148.2,96.697
"18351",146.76,137.9
"8268",130.56,84.167
"61972",149.38,75.684
"5966",151.88,118.58
"16728",133.87,103.05
"14245",148.06,107.52
"11130",164.87,88.932
"5386",185.22,118.25
"24920",150.78,92.779
"48159",121.21,76.824
"20948",121.03,78.819
"43619",148.4,114.05
"32817",153.07,102.96
"29849",158.92,95.377
"42438",145.77,112.51
"43357",109.54,57.653
"43735",166.02,108.14
"53030",180.17,104.05
"34880",111.41,72.49
"35377",171.69,95.187
"877",210.65,125.65
"20566",176.9,97.231
"27475",146.73,99.189
"40191",161.98,79.34
"56213",140.57,111.68
"18072",151.66,88.198
"1206",144.41,110.74
"19650",133.96,91.791
"399",147.66,125.88
"7999",117.9,66.488
"45904",169.47,98.84
"10413",133.35,122.99
"41733",143.11,109.34
"27808",102.68,80.515
"3796",151.05,92.948
"9967",198.67,134.29
"50891",172.98,132.26
"62356",159.7,106.6
"34237",151.85,63.932
"38186",141.95,112.15
"48199",159.22,102.64
"6303",165.28,83.729
"17286",184.47,111.35
"8392",180.43,106.63
"37138",154.23,100.1
"30961",175.95,102.17
"26473",161.06,101.22
"21024",157.45,68.929
"9559",151.83,105.37
"43241",140.43,121.5
"27695",159.86,116.69
"19032",123.42,72.968
"3422",112.37,87.532
"25489",150.02,110.24
"2407",172.99,89.488
"34544",197.56,125.63
"49424",142.56,118.68
"14648",116.75,110.75
"54924",164.71,126.34
"23639",147.44,99.138
"62618",145.58,96.018
"53922",156.37,94.238
"40577",130.04,84.615
"47238",170.05,110.13
"57354",121.89,93.873
"44921",166.82,103.75
"57214",144.94,107.62
"7185",135.84,87.868
"12295",150.23,77.044
"22299",144.82,79.79
"3051",166.75,126.72
"60008",155.17,90.421
"9140",186.73,93.261
"2731",181.33,130.17
"42761",161.62,96.413
"57356",111.65,106.36
"46210",152.42,88.494
"21216",95.884,83.928
"23274",112.56,113.81
"36081",162.75,110.11
"42332",103.82,89.247
"11421",127.59,78.093
"23990",155.43,104.61
"9499",154.54,77.401
"30238",144.1,66.018
"57573",160.48,106.11
"7788",155.57,109.25
"42221",159.36,107.01
"62812",138.99,84.37
"31668",125.65,96.012
"20117",128.95,96.838
"17358",187.8,136.61
"44285",111.28,53.737
"33789",127.98,79.32
"2295",145.08,119.69
"19917",179.77,130.88
"9937",129.66,120.6
"4482",150.8,93.646
"23382",157.37,112.55
"47303",186.08,110.05
"5037",186,125.38
"64911",187.57,125.84
"33172",170.92,100.34
"52214",176.18,94.53
"47174",163.96,99.599
"62263",180.11,97.076
"35367",164.21,95.385
"34554",117.62,89.217
"51885",133.87,109.31
"19054",149.73,132.15
"29708",141.97,85.468
"56242",143.41,95.087
"62174",156.93,74.447
"37611",177.91,122.98
"21871",129.65,126.57
"63307",159.5,97.208
"43642",122.62,55.617
"61846",141.29,105.57
"35272",179.02,120.1
"63533",166.29,115.92
"10994",173.37,104.62
"40195",141.77,97.648
"29234",177.47,100.24
"35970",147.02,88.258
"5512",126.08,118.63
"17974",149.81,81.312
"51559",157.45,100.3
"22755",156.92,96.235
"17022",181.6,81.824
"41478",149.21,104.27
"17591",166.1,110.68
"53342",144.03,87.275
"61287",130.09,111.7
"2899",158.17,98.64
"41302",106.7,112.94
"5104",168.18,134.46
"61072",155.81,120.85
"53120",124.97,85.765
"38750",116,72.004
"8337",136.47,103.68
"64636",169.46,76.276
"60034",156.19,108.63
"9956",184.94,106.74
"21916",142.43,54.957
"23840",94.355,72.89
"12769",156.13,80.476
"28876",161.04,108.47
"49029",143.6,112.1
"49606",177.28,108.29
"51774",134.63,68.558
"5123",157.04,95.161
"52310",129.97,106.28
"31492",155.37,100.03
"8122",175.84,90.922
"51918",132.3,124.35
"16067",173.79,97.084
"15407",168.16,118.25
"23111",204,99.896
"43562",129.9,135.75
"33355",123.48,128.91
"711",134.79,72.011
"50576",167.16,118.28
"28309",135.08,95.527
"269",132,120.04
"63296",113.92,60.889
"52977",162.78,103.73
"39335",142.76,111.12
"32597",132.36,89.26
"44434",145.33,107.77
"41053",137.56,60.174
"27919",152.24,130.46
"38003",133.3,88.819
"29183",139.88,72.435
"8779",187.75,113.96
"62857",179.74,121.85
"29452",174.05,120.37
"53857",153.12,67.906
"43996",174.73,77.006
"36352",81.456,70.191
"27722",117.88,88.302
"4804",170.96,96.927
"35418",177.1,64.872
"26625",180.44,78.084
"27157",175.87,94.799
"25011",149.67,100.38
"5606",132.29,109.49
"53410",159.3,101.9
"51378",154.8,105.65
"22507",197.04,100.51
"47316",169.65,99.029
"48336",150.11,110.98
"52078",167.43,130.4
"22000",151.48,129.13
"15949",178.1,129.69
"42906",175.75,91.813
"16795",129.35,74.474
"59302",148.68,88.43
"36016",160.14,111.06
"31889",173.35,117.64
"38622",113.66,67.715
"16542",119.15,102.49
"13828",174.36,108.22
"39982",156.86,94.193
"29304",128.27,70.946
"12044",131.53,95.481
"35458",173.99,102.49
"5539",165.22,103.36
"17976",155.56,73.099
"41313",156.01,83.927
"43318",140.68,107.82
"47843",155.29,110.8
"51042",147.88,96.405
"35968",162.01,86.005
"44635",160.77,50.687
"3280",149.64,121.3
"15453",117.98,78.045
"52243",158.59,113.41
"37772",172.44,103.37
"5120",158.59,111.75
"52856",158.8,86.962
"34316",136.55,132.42
"59658",148.05,112.55
"54226",157.83,93.9
"50441",116.87,122.75
"46827",190.01,128.69
"54400",157.04,82.498
"17071",169.32,129.81
"4744",186.29,95.675
"33649",157.02,102.08
"57728",113.46,70.371
"47654",142.89,113.91
"58498",173.25,98.415
"14766",138.13,126.82
"5846",136.29,106.59
"47229",121.02,55.583
"56333",158.55,102.08
"55210",134.54,105
"29989",159.16,109.09
"52266",144.05,105.01
"44559",160.44,127.13
"15404",141.53,83.354
"20793",105.67,96.733
"31297",150.08,87.436
"14867",135.5,71.166
"28431",185.43,135.3
"18822",191.54,109.83
"2259",145.64,102.13
"23377",125.38,113.49
"23614",168.79,80.165
"24591",121.4,117.23
"35375",170.15,131.29
"1008",125.86,132.33
"50882",168.33,100.12
"42085",148.56,104.34
"57257",201.91,94.932
